#,Event,Date,Venue,Location,Attendance
585,UFC Fight Night: Holloway vs. Rodríguez,"Nov 13, 2021",UFC Apex,"Las Vegas, Nevada, U.S.",N/A
584,UFC 268: Usman vs. Covington 2,"Nov 6, 2021",Madison Square Garden,"New York City, New York, U.S.","20,715"
583,UFC 267: Błachowicz vs. Teixeira,"Oct 30, 2021",Etihad Arena,"Abu Dhabi, United Arab Emirates","10,171"
582,UFC Fight Night: Costa vs. Vettori,"Oct 23, 2021",UFC Apex,"Las Vegas, Nevada, U.S.",N/A
581,UFC Fight Night: Ladd vs. Dumont,"Oct 16, 2021",,,N/A
580,UFC Fight Night: Dern vs. Rodriguez,"Oct 9, 2021",,,N/A
579,UFC Fight Night: Santos vs. Walker,"Oct 2, 2021",,,N/A
578,UFC 266: Volkanovski vs. Ortega,"Sep 25, 2021",T-Mobile Arena,,"19,029"
577,UFC Fight Night: Smith vs. Spann,"Sep 18, 2021",UFC Apex,,N/A
576,UFC Fight Night: Brunson vs. Till,"Sep 4, 2021",,,N/A
575,UFC on ESPN: Barboza vs. Chikadze,"Aug 28, 2021",,,N/A
574,UFC on ESPN: Cannonier vs. Gastelum,"Aug 21, 2021",,,N/A
573,UFC 265: Lewis vs. Gane,"Aug 7, 2021",Toyota Center,"Houston, Texas, U.S.","16,604"
572,UFC on ESPN: Hall vs. Strickland,"Jul 31, 2021",UFC Apex,"Las Vegas, Nevada, U.S.",N/A
571,UFC on ESPN: Sandhagen vs. Dillashaw,"Jul 24, 2021",,,51
570,UFC on ESPN: Makhachev vs. Moisés,"Jul 17, 2021",,,0
569,UFC 264: Poirier vs. McGregor 3,"Jul 10, 2021",T-Mobile Arena,,"20,062"
568,UFC Fight Night: Gane vs. Volkov,"Jun 26, 2021",UFC Apex,,0
567,UFC on ESPN: The Korean Zombie vs. Ige,"Jun 19, 2021",,,
566,UFC 263: Adesanya vs. Vettori 2,"Jun 12, 2021",Gila River Arena,"Glendale, Arizona, U.S.","17,208"
565,UFC Fight Night: Rozenstruik vs. Sakai,"Jun 5, 2021",UFC Apex,"Las Vegas, Nevada, U.S.",0
564,UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",,,
563,UFC 262: Oliveira vs. Chandler,"May 15, 2021",Toyota Center,"Houston, Texas, U.S.","16,005"
562,UFC on ESPN: Rodriguez vs. Waterson,"May 8, 2021",UFC Apex,"Las Vegas, Nevada, U.S.",0
561,UFC on ESPN: Reyes vs. Procházka,"May 1, 2021",,,
560,UFC 261: Usman vs. Masvidal 2,"Apr 24, 2021",VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","15,269"
559,UFC on ESPN: Whittaker vs. Gastelum,"Apr 17, 2021",UFC Apex,"Las Vegas, Nevada, U.S.",0
558,UFC on ABC: Vettori vs. Holland,"Apr 10, 2021",,,
557,UFC 260: Miocic vs. Ngannou 2,"Mar 27, 2021",,,
556,UFC on ESPN: Brunson vs. Holland,"Mar 20, 2021",,,
555,UFC Fight Night: Edwards vs. Muhammad,"Mar 13, 2021",,,
554,UFC 259: Błachowicz vs. Adesanya,"Mar 6, 2021",,,
553,UFC Fight Night: Rozenstruik vs. Gane,"Feb 27, 2021",,,
552,UFC Fight Night: Blaydes vs. Lewis,"Feb 20, 2021",,,
551,UFC 258: Usman vs. Burns,"Feb 13, 2021",,,
550,UFC Fight Night: Overeem vs. Volkov,"Feb 6, 2021",,,
549,UFC 257: Poirier vs. McGregor 2,"Jan 24, 2021",Etihad Arena,"Abu Dhabi, United Arab Emirates","2,600"
548,UFC on ESPN: Chiesa vs. Magny,"Jan 20, 2021",,,"2,000"
547,UFC on ABC: Holloway vs. Kattar,"Jan 16, 2021",,,
546,UFC Fight Night: Thompson vs. Neal,"Dec 19, 2020",UFC Apex,"Las Vegas, Nevada, U.S.",0
545,UFC 256: Figueiredo vs. Moreno,"Dec 12, 2020",,,
544,UFC on ESPN: Hermansson vs. Vettori,"Dec 5, 2020",,,
543,UFC on ESPN: Smith vs. Clark,"Nov 28, 2020",,,
542,UFC 255: Figueiredo vs. Perez,"Nov 21, 2020",,,
541,UFC Fight Night: Felder vs. dos Anjos,"Nov 14, 2020",,,
540,UFC on ESPN: Santos vs. Teixeira,"Nov 7, 2020",,,
539,UFC Fight Night: Hall vs. Silva,"Oct 31, 2020",,,
538,UFC 254: Khabib vs. Gaethje,"Oct 24, 2020",du Forum,"Abu Dhabi, United Arab Emirates",
537,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct 18, 2020",,,
536,UFC Fight Night: Moraes vs. Sandhagen,"Oct 11, 2020",,,
535,UFC on ESPN: Holm vs. Aldana,"Oct 4, 2020",,,
534,UFC 253: Adesanya vs. Costa,"Sep 27, 2020",,,
533,UFC Fight Night: Covington vs. Woodley,"Sep 19, 2020",UFC Apex,"Las Vegas, Nevada, U.S.",
532,UFC Fight Night: Waterson vs. Hill,"Sep 12, 2020",,,
531,UFC Fight Night: Overeem vs. Sakai,"Sep 5, 2020",,,
530,UFC Fight Night: Smith vs. Rakić,"Aug 29, 2020",,,
529,UFC on ESPN: Munhoz vs. Edgar,"Aug 22, 2020",,,
528,UFC 252: Miocic vs. Cormier 3,"Aug 15, 2020",,,
527,UFC Fight Night: Lewis vs. Oleinik,"Aug 8, 2020",,,
526,UFC Fight Night: Brunson vs. Shahbazyan,"Aug 1, 2020",,,
525,UFC on ESPN: Whittaker vs. Till,"Jul 26, 2020",du Forum,"Abu Dhabi, United Arab Emirates",
524,UFC Fight Night: Figueiredo vs. Benavidez 2,"Jul 19, 2020",,,
523,UFC on ESPN: Kattar vs. Ige,"Jul 16, 2020",,,
522,UFC 251: Usman vs. Masvidal,"Jul 12, 2020",,,
521,UFC on ESPN: Poirier vs. Hooker,"Jun 27, 2020",UFC Apex,"Las Vegas, Nevada, U.S.",
520,UFC on ESPN: Blaydes vs. Volkov,"Jun 20, 2020",,,
519,UFC on ESPN: Eye vs. Calvillo,"Jun 13, 2020",,,
518,UFC 250: Nunes vs. Spencer,"Jun 6, 2020",,,
517,UFC on ESPN: Woodley vs. Burns,"May 30, 2020",,,
